ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_2,CH/FPD/END/CONN/TYPE,8,R3,4,TRUE,FALSE,CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080,999999,Slip On Flange - Raised Face,Slip On Flange - Raised Face,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,F3,5,TRUE,FALSE,CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080,999999,Slip On Flange - Flat Face,Slip On Flange - Flat Face,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,S1,6,TRUE,FALSE,,999999,Socket Weld Flange - Raised Face,Socket Weld Flange - Raised Face,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/TYPE,8,Z9,8,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A1,1,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1,0,ASME Class 150,ASME Class 150,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A3,2,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1,0,ASME Class 300,ASME Class 300,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A6,3,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1 OR NOT(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200 OR CH/FPD/LINE/SIZE=250 OR CH/FPD/LINE/SIZE=300 OR CH/FPD/LINE/SIZE=350 OR CH/FPD/LINE/SIZE=400),0,ASME Class 600,ASME Class 600,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A7,4,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1 OR NOT(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200 OR CH/FPD/LINE/SIZE=250 OR CH/FPD/LINE/SIZE=300),0,ASME Class 900,ASME Class 900,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A8,5,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1 OR NOT(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200 OR CH/FPD/LINE/SIZE=250),0,ASME Class 1500,ASME Class 1500,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,A9,6,TRUE,FALSE,CH/FPD/END/CONN/TYPE=P1 OR NOT(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200),999999,ASME Class 2500,ASME Class 2500,,,,,,,,,,,
