ColumnName,Value,Units,UnitsType,Notes,Expression
GADimensionA,705,mm,length,O/DIA A = 705mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp31
GADimensionA,701.5,mm,length,O/DIA A = 701.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp33
GADimensionA,733.5,mm,length,O/DIA A = 733.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp34
GADimensionA,775,mm,length,O/DIA A = 775mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp16
GADimensionA,835,mm,length,O/DIA A = 835mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp31
GADimensionA,832,mm,length,O/DIA A = 832mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp33
GADimensionA,867,mm,length,O/DIA A = 867mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp34
GADimensionA,882.5,mm,length,O/DIA A = 882.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp27
GADimensionA,832,mm,length,O/DIA A = 832mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp16
GADimensionA,898.5,mm,length,O/DIA A = 898.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp31
GADimensionA,892,mm,length,O/DIA A = 892mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp33
GADimensionA,914.5,mm,length,O/DIA A = 914.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp34
GADimensionA,946,mm,length,O/DIA A = 946mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp27
GADimensionA,882.5,mm,length,O/DIA A = 882.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp16
GADimensionA,952.5,mm,length,O/DIA A = 952.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp31
GADimensionA,946,mm,length,O/DIA A = 946mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp33
GADimensionA,971.5,mm,length,O/DIA A = 971.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp34
GADimensionA,1009.5,mm,length,O/DIA A = 1009.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp27
GADimensionA,940,mm,length,O/DIA A = 940mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp16
GADimensionA,1006.5,mm,length,O/DIA A = 1006.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp31
GADimensionA,1003.5,mm,length,O/DIA A = 1003.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp33
GADimensionA,1022.5,mm,length,O/DIA A = 1022.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp34
GADimensionA,1073,mm,length,O/DIA A = 1073mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp27
GADimensionA,990.5,mm,length,O/DIA A = 990.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp16
GADimensionA,1057,mm,length,O/DIA A = 1057mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp31
GADimensionA,1054,mm,length,O/DIA A = 1054mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp33
GADimensionA,1073,mm,length,O/DIA A = 1073mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp34
GADimensionA,1136.5,mm,length,O/DIA A = 1136.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp27
GADimensionA,1048,mm,length,O/DIA A = 1048mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp16
GADimensionA,1117.5,mm,length,O/DIA A = 1117.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp52
GADimensionA,1130.5,mm,length,O/DIA A = 1130.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp34
GADimensionA,1200,mm,length,O/DIA A = 1200mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp27
GADimensionH,87.25,mm,length,87.25,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp21 AND Exp31 AND Exp6 AND Exp57
GADimensionH,90.55,mm,length,90.55,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp23 AND Exp31 AND Exp6 AND Exp57
GADimensionH,90.55,mm,length,90.55,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp24 AND Exp31 AND Exp6 AND Exp57
GADimensionH,93.6,mm,length,93.6,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp25 AND Exp31 AND Exp6 AND Exp57
GADimensionH,93.6,mm,length,93.6,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp26 AND Exp31 AND Exp6 AND Exp57
GADimensionH,96.2,mm,length,96.2,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp32 AND Exp31 AND Exp6 AND Exp57
GADimensionH,104.8,mm,length,104.8,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp36 AND Exp31 AND Exp6 AND Exp57
GADimensionH,115.95,mm,length,115.95,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp37 AND Exp31 AND Exp6 AND Exp57
GADimensionH,122.05,mm,length,122.05,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp38 AND Exp31 AND Exp6 AND Exp57
GADimensionH,134.75,mm,length,134.75,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp39 AND Exp31 AND Exp6 AND Exp57
GADimensionH,147.45,mm,length,147.45,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp40 AND Exp31 AND Exp6 AND Exp57
GADimensionH,150.75,mm,length,150.75,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp41 AND Exp31 AND Exp6 AND Exp57
GADimensionH,163.45,mm,length,163.45,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp42 AND Exp31 AND Exp6 AND Exp57
GADimensionH,166.75,mm,length,166.75,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp43 AND Exp31 AND Exp6 AND Exp57
GADimensionH,172.85,mm,length,172.85,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp45 AND Exp31 AND Exp6 AND Exp57
GADimensionH,188.85,mm,length,188.85,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp46 AND Exp31 AND Exp6 AND Exp57
GADimensionH,201.55,mm,length,201.55,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp47 AND Exp31 AND Exp6 AND Exp57
GADimensionH,214.25,mm,length,214.25,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp48 AND Exp31 AND Exp6 AND Exp57
GADimensionH,226.95,mm,length,226.95,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp49 AND Exp31 AND Exp6 AND Exp57
GADimensionH,236.35,mm,length,236.35,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp50 AND Exp31 AND Exp6 AND Exp57
GADimensionH,246,mm,length,246,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp51 AND Exp31 AND Exp6 AND Exp57
GADimensionH,87.25,mm,length,87.25,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp21 AND Exp33 AND Exp6 AND Exp57
GADimensionH,90.55,mm,length,90.55,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp23 AND Exp33 AND Exp6 AND Exp57
GADimensionH,90.55,mm,length,90.55,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp24 AND Exp33 AND Exp6 AND Exp57
GADimensionH,93.6,mm,length,93.6,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp25 AND Exp33 AND Exp6 AND Exp57
GADimensionH,93.6,mm,length,93.6,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp26 AND Exp33 AND Exp6 AND Exp57
GADimensionH,99.95,mm,length,99.95,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp32 AND Exp33 AND Exp6 AND Exp57
GADimensionH,114.18,mm,length,114.18,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp36 AND Exp33 AND Exp6 AND Exp57
GADimensionH,128.4,mm,length,128.4,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp37 AND Exp33 AND Exp6 AND Exp57
GADimensionH,135,mm,length,135,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp38 AND Exp33 AND Exp6 AND Exp57
GADimensionH,147.7,mm,length,147.7,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp39 AND Exp33 AND Exp6 AND Exp57
GADimensionH,160.4,mm,length,160.4,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp40 AND Exp33 AND Exp6 AND Exp57
GADimensionH,163.45,mm,length,163.45,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp41 AND Exp33 AND Exp6 AND Exp57
GADimensionH,176.15,mm,length,176.15,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp42 AND Exp33 AND Exp6 AND Exp57
GADimensionH,179.2,mm,length,179.2,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp43 AND Exp33 AND Exp6 AND Exp57
GADimensionH,185.8,mm,length,185.8,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp45 AND Exp33 AND Exp6 AND Exp57
GADimensionH,204.6,mm,length,204.6,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp46 AND Exp33 AND Exp6 AND Exp57
GADimensionH,217.3,mm,length,217.3,Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp47 AND Exp33 AND Exp6 AND Exp57
