"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADimensionA","419","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp33","O/DIA A = 419mm"
"GADimensionA","457","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp34","O/DIA A = 457mm"
"GADimensionA","498.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp27","O/DIA A = 498.5mm"
"GADimensionA","520.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp28","O/DIA A = 520.5mm"
"GADimensionA","549.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp19","O/DIA A = 549.5mm"
"GADimensionA","451","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp16","O/DIA A = 451mm"
"GADimensionA","486","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp31","O/DIA A = 486mm"
"GADimensionA","482.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp33","O/DIA A = 482.5mm"
"GADimensionA","492","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp34","O/DIA A = 492mm"
"GADimensionA","521","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp27","O/DIA A = 521mm"
"GADimensionA","578","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp40 AND Exp28","O/DIA A = 578mm"
"GADimensionA","514.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp16","O/DIA A = 514.5mm"
"GADimensionA","540","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp31","O/DIA A = 540mm"
"GADimensionA","536.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp33","O/DIA A = 536.5mm"
"GADimensionA","565","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp34","O/DIA A = 565mm"
"GADimensionA","575","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp27","O/DIA A = 575mm"
"GADimensionA","641.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp41 AND Exp28","O/DIA A = 641.5mm"
"GADimensionA","549.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp16","O/DIA A = 549.5mm"
"GADimensionA","597","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp31","O/DIA A = 597mm"
"GADimensionA","593.7","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp33","O/DIA A = 593.7mm"
"GADimensionA","613","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp34","O/DIA A = 613mm"
"GADimensionA","638","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp27","O/DIA A = 638mm"
"GADimensionA","705","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp42 AND Exp28","O/DIA A = 705mm"
"GADimensionA","606.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp16","O/DIA A = 606.5mm"
"GADimensionA","654","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp31","O/DIA A = 654mm"
"GADimensionA","647.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp33","O/DIA A = 647.5mm"
"GADimensionA","682.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp34","O/DIA A = 682.5mm"
"GADimensionA","698.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp27","O/DIA A = 698.5mm"
"GADimensionA","755.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp43 AND Exp28","O/DIA A = 755.5mm"
"GADimensionA","717.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp16","O/DIA A = 717.5mm"
"GADimensionA","775","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp31","O/DIA A = 775mm"
"GADimensionA","768.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp33","O/DIA A = 768.5mm"
"GADimensionA","790.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp34","O/DIA A = 790.5mm"
"GADimensionA","838","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp27","O/DIA A = 838mm"
"GADimensionA","901.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp44 AND Exp28","O/DIA A = 901.5mm"
"GADimensionA","660.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp16","O/DIA A = 660.5mm"
"GADimensionA","705","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp31","O/DIA A = 705mm"
"GADimensionA","701.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp33","O/DIA A = 701.5mm"
"GADimensionA","733.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp45 AND Exp34","O/DIA A = 733.5mm"
"GADimensionA","775","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp16","O/DIA A = 775mm"
"GADimensionA","835","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp31","O/DIA A = 835mm"
"GADimensionA","832","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp33","O/DIA A = 832mm"
"GADimensionA","867","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp34","O/DIA A = 867mm"
