"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD150","CH/FPD/GASKET","GU1",16,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U1)))","Alloy 20 (UNS N08020)","Alloy 20 (UNS N08020)",,False
"FPD150","CH/FPD/GASKET","GU2",17,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U2)))","Alloy 200 (UNS N02200)","Alloy 200 (UNS N02200)",,False
"FPD150","CH/FPD/GASKET","GM4",18,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=M4)))","Alloy 400 (UNS N04400)","Alloy 400 (UNS N04400)",,False
"FPD150","CH/FPD/GASKET","GU3",19,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U3)))","Alloy 600 (UNS N06600)","Alloy 600 (UNS N06600)",,False
"FPD150","CH/FPD/GASKET","GN2",20,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=N2)))","Alloy 625 (UNS N06625)","Alloy 625 (UNS N06625)",,False
"FPD150","CH/FPD/GASKET","GU4",21,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U4)))","Alloy 800 (UNS N08800)","Alloy 800 (UNS N08800)",,False
"FPD150","CH/FPD/GASKET","GU5",22,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U5)))","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"FPD150","CH/FPD/GASKET","GU6",23,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U6)))","Alloy C22 (UNS N06022)","Alloy C22 (UNS N06022)",,False
"FPD150","CH/FPD/GASKET","GU7",24,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=U7)))","Alloy C276 (UNS N010276)","Alloy C276 (UNS N010276)",,False
"FPD150","CH/FPD/GASKET","GP2",25,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=P2)))","90/10 CuNi (UNS C70600)","90/10 CuNi (UNS C70600)",,False
"FPD150","CH/FPD/GASKET","GT2",26,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=T2)))","Titanium Grade 2","Titanium Grade 2",,False
"FPD150","CH/FPD/GASKET","GT5",27,True,False,999999,"NOT(CH/FPD/PRODUCT/DES=P2 OR NOT(NOT(CH/FPD/PRODUCT/DES=P3) OR NOT(CH/FPD/ELEM/MAT=T5)))","Titanium Grade 5","Titanium Grade 5",,False
"FPD150","CH/FPD/GASKET","GZ9",28,True,False,999999,"","Others","Others","Customer",False
"FPD150","CH/FPD/ORI/SEALING/FACE","SF6",1,True,False,52.5,"","Stock Finish (Scrolled to 6.3 - 12.5 microns)","Stock Finish (Scrolled to 6.3 - 12.5 microns)",,False
"FPD150","CH/FPD/DRAIN/VENT","HT1",1,True,False,0,"","Drain Hole (gas applications)","Drain Hole (gas applications)","1",False
"FPD150","CH/FPD/DRAIN/VENT","HT2",2,True,False,0,"","Vent Hole (liquid applications)","Vent Hole (liquid applications)","2",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA1",1,True,False,0,"CH/FPD/CUST/STD=A2","1 mm","1 mm","0.001",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA2",2,True,False,0,"CH/FPD/CUST/STD=A2","1.5 mm","1.5 mm","0.0015",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA3",3,True,False,0,"CH/FPD/CUST/STD=A2","2 mm","2 mm","0.002",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA4",4,True,False,0,"CH/FPD/CUST/STD=A2","3 mm","3 mm","0.003",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA5",5,True,False,0,"CH/FPD/CUST/STD=A2","4 mm","4 mm","0.004",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA6",6,True,False,0,"CH/FPD/CUST/STD=A2","5 mm","5 mm","0.005",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA7",7,True,False,0,"CH/FPD/CUST/STD=A2","5.5 mm","5.5 mm","0.0055",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA8",8,True,False,0,"CH/FPD/CUST/STD=A2","6 mm","6 mm","0.006",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HA9",9,True,False,0,"CH/FPD/CUST/STD=A2","6.5 mm","6.5 mm","0.0065",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB1",10,True,False,0,"CH/FPD/CUST/STD=A2","7.5 mm","7.5 mm","0.0075",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB2",11,True,False,0,"CH/FPD/CUST/STD=A2","8 mm","8 mm","0.008",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB3",12,True,False,0,"CH/FPD/CUST/STD=A2","10 mm","10 mm","0.01",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB4",13,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","3/32 in.","3/32 in.","0.00238125",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB5",14,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","1/8 in.","1/8 in.","0.003175",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB6",15,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","5/32 in.","5/32 in.","0.00396875",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB7",16,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","3/16 in.","3/16 in.","0.0047625",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB8",17,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","7/32 in.","7/32 in.","0.00555625",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HB9",18,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","¼ in.","¼ in.","0.00635",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC1",19,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","9/32 in.","9/32 in.","0.00714375",False
