CharacteristicCode_Logic,Active,Description,IsoValveMass_kg,IsoValveLength_mm
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb RF",15,203
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb RF",20,283
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb RF",25,355
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb RF",,381
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb RF",,381
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb FF",15,203
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb FF",20,283
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb FF",25,355
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb FF",,381
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb FF",,381
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb RTJ",,203
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb RTJ",,283
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb RTJ",,355
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb RTJ",,381
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb RTJ",,381
(CH/FPD/END/CONN/TYPE=Z9) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"Customer supplied",,0
