"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD190","CH/FPD/ELEM/MAT","U5",13,True,False,999999,"","Alloy 825 (UNS N08825)","Alloy 825 (UNS N08825)",,False
"FPD190","CH/FPD/ELEM/MAT","U7",14,True,False,999999,"","Alloy C276 (UNS N10276)","Alloy C276 (UNS N10276)",,False
"FPD190","CH/FPD/ELEM/MAT","Z9",15,True,False,999999,"","Others","Others","Customer",False
"FPD190","CH/FPD/PLATE/THICK","S03",1,True,False,0,"","3 mm","3 mm","0.003",False
"FPD190","CH/FPD/PLATE/THICK","S04",2,True,False,999999,"","4 mm","4 mm","0.004",False
"FPD190","CH/FPD/PLATE/THICK","S05",3,True,False,0,"","6 mm","6 mm","0.006",False
"FPD190","CH/FPD/PLATE/THICK","S06",4,True,False,999999,"","8 mm","8 mm","0.08",False
"FPD190","CH/FPD/PLATE/THICK","S07",5,True,False,0,"","10 mm","10 mm","0.01",False
"FPD190","CH/FPD/PLATE/THICK","S08",6,True,False,999999,"","12 mm","12 mm","0.012",False
"FPD190","CH/FPD/PLATE/THICK","S09",7,True,False,999999,"","15 mm","15 mm","0.015",False
"FPD190","CH/FPD/PLATE/THICK","S10",8,True,False,999999,"","16 mm","16 mm","0.016",False
"FPD190","CH/FPD/PLATE/THICK","S11",9,True,False,999999,"","18 mm","18 mm","0.018",False
"FPD190","CH/FPD/PLATE/THICK","S12",10,True,False,999999,"","20 mm","20 mm","0.02",False
"FPD190","CH/FPD/PLATE/THICK","S13",11,True,False,999999,"","25 mm","25 mm","0.025",False
"FPD190","CH/FPD/PLATE/THICK","S14",12,True,False,999999,"","30 mm","30 mm","0.03",False
"FPD190","CH/FPD/PLATE/THICK","S15",13,True,False,999999,"","35 mm","35 mm","0.035",False
"FPD190","CH/FPD/PLATE/THICK","S16",14,True,False,999999,"","40 mm","40 mm","0.04",False
